iter	Passed	Remaining
0	1	119
1	2	104
2	3	99
3	3	93
4	4	93
5	5	91
6	6	89
7	7	87
8	8	86
9	9	85
10	10	85
11	11	84
12	12	83
13	13	82
14	14	82
15	15	82
16	16	81
17	18	82
18	19	82
19	20	81
20	21	80
21	22	78
22	23	78
23	24	77
24	25	76
25	26	74
26	27	74
27	28	73
28	29	71
29	30	70
30	31	69
31	32	69
32	33	68
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	97	0
99	98	0
