iter	Passed	Remaining
0	172	172160
1	173	86528
2	174	57913
3	174	43571
4	175	35012
5	176	29271
6	177	25172
7	178	22087
8	179	19740
9	180	17830
10	180	16262
11	181	14953
12	182	13852
13	183	12902
14	183	12079
15	184	11358
16	185	10730
17	186	10186
18	187	9683
19	188	9233
20	189	8823
21	190	8450
22	190	8107
23	191	7791
24	192	7502
25	193	7241
26	194	6992
27	194	6767
28	195	6553
29	196	6354
30	197	6166
31	198	5991
32	198	5827
33	199	5671
34	200	5526
35	201	5398
36	202	5269
37	203	5145
38	204	5029
39	204	4918
40	205	4812
41	206	4710
42	207	4613
43	208	4520
44	208	4432
45	209	4347
46	210	4266
47	211	4187
48	212	4117
49	212	4046
50	213	3978
51	214	3913
52	215	3850
53	216	3790
54	217	3731
55	217	3674
56	218	3619
57	219	3567
58	220	3515
59	221	3464
60	221	3415
61	222	3369
62	223	3324
63	224	3282
64	225	3238
65	226	3199
66	227	3161
67	227	3124
68	228	3086
69	229	3052
70	230	3018
71	231	2982
72	232	2948
73	232	2914
74	233	2882
75	234	2851
76	235	2819
77	235	2788
78	236	2760
79	237	2730
80	238	2702
81	238	2675
82	239	2645
83	240	2619
84	241	2595
85	245	2606
86	245	2581
87	246	2557
88	247	2533
89	248	2510
90	249	2488
91	249	2466
92	250	2444
93	251	2422
94	252	2401
95	252	2380
96	253	2360
97	254	2340
98	255	2324
99	256	2306
100	257	2289
101	258	2271
102	258	2253
103	259	2236
104	260	2219
105	261	2203
106	261	2186
107	262	2170
108	263	2154
109	264	2139
110	265	2123
111	265	2108
112	266	2093
113	267	2078
114	268	2064
115	269	2050
116	269	2036
117	270	2023
118	271	2011
119	272	2001
120	273	1989
121	274	1975
122	275	1962
123	276	1949
124	276	1937
125	277	1925
126	278	1912
127	278	1900
128	279	1889
129	280	1877
130	281	1865
131	282	1855
132	282	1844
133	283	1834
134	284	1823
135	285	1813
136	286	1803
137	287	1794
138	288	1784
139	288	1774
140	289	1765
141	290	1753
142	291	1745
143	292	1736
144	292	1726
145	293	1717
146	294	1708
147	295	1699
148	296	1690
149	296	1681
150	297	1673
151	298	1664
152	299	1657
153	300	1650
154	301	1643
155	302	1636
156	303	1628
157	304	1620
158	304	1612
159	305	1604
160	306	1595
161	306	1587
162	307	1579
163	308	1572
164	309	1565
165	310	1557
166	310	1550
167	311	1543
168	312	1536
169	313	1529
170	314	1522
171	314	1516
172	315	1509
173	316	1503
174	317	1497
175	318	1490
176	319	1484
177	320	1477
178	320	1471
179	321	1465
180	322	1459
181	323	1453
182	324	1447
183	324	1440
184	325	1434
185	326	1429
186	327	1423
187	328	1418
188	329	1412
189	329	1406
190	330	1401
191	331	1396
192	332	1391
193	333	1385
194	334	1380
195	335	1377
196	336	1372
197	337	1366
198	338	1362
199	339	1356
200	340	1351
201	340	1346
202	341	1341
203	342	1336
204	343	1330
205	344	1326
206	345	1321
207	346	1317
208	347	1313
209	347	1309
210	348	1304
211	349	1299
212	350	1295
213	351	1290
214	352	1285
215	353	1282
216	354	1278
217	355	1273
218	355	1269
219	356	1264
220	357	1260
221	358	1256
222	359	1252
223	360	1249
224	362	1246
225	363	1245
226	365	1244
227	366	1241
228	367	1237
229	368	1234
230	369	1230
231	370	1226
232	371	1223
233	372	1219
234	373	1215
235	374	1211
236	375	1207
237	376	1204
238	377	1201
239	378	1197
240	379	1196
241	380	1192
242	381	1188
243	382	1184
244	383	1181
245	384	1177
246	384	1173
247	385	1169
248	386	1166
249	387	1162
250	388	1160
251	389	1157
252	390	1153
253	392	1151
254	393	1150
255	395	1148
256	396	1146
257	398	1145
258	399	1143
259	400	1141
260	402	1139
