iter	Passed	Remaining
0	128	128640
1	130	65169
2	132	44049
3	134	33511
4	136	27173
5	138	22924
6	140	19923
7	142	17659
8	144	15894
9	146	14479
10	148	13321
11	150	12353
12	151	11539
13	153	10845
14	155	10242
15	158	9718
16	159	9250
17	162	8849
18	164	8469
19	166	8136
20	167	7808
21	169	7518
22	170	7254
23	172	7006
24	173	6773
25	175	6556
26	176	6357
27	177	6168
28	178	5991
29	179	5818
30	181	5659
31	182	5508
32	183	5368
33	184	5234
34	185	5105
35	186	4981
36	187	4868
37	187	4758
38	188	4655
39	189	4556
40	190	4461
41	191	4368
42	192	4279
43	193	4196
44	193	4116
45	194	4039
46	195	3964
47	196	3894
48	197	3827
49	197	3761
50	198	3695
51	199	3634
52	200	3574
53	200	3516
54	201	3461
55	202	3411
56	203	3360
57	203	3310
58	204	3263
59	205	3217
60	206	3172
61	206	3130
62	207	3087
63	208	3047
64	209	3008
65	209	2970
66	210	2933
67	211	2893
68	211	2859
69	212	2826
70	213	2794
71	214	2763
72	215	2731
73	215	2701
74	216	2672
75	217	2643
76	218	2615
77	218	2588
78	219	2561
79	220	2535
80	221	2509
81	221	2484
82	222	2461
83	223	2438
84	224	2413
85	225	2391
86	225	2367
87	226	2346
88	227	2325
89	227	2304
90	228	2285
91	229	2266
92	230	2247
93	231	2228
94	232	2210
95	232	2192
96	233	2174
97	234	2157
98	235	2140
99	236	2124
100	236	2107
101	237	2088
102	238	2073
103	238	2057
104	239	2042
105	240	2027
106	241	2012
107	241	1997
108	242	1983
109	243	1969
110	244	1955
111	244	1940
112	245	1927
113	246	1914
114	247	1901
115	247	1887
116	248	1874
117	249	1862
118	249	1849
119	250	1837
120	251	1825
121	252	1813
122	252	1800
123	253	1788
124	253	1777
125	254	1766
126	255	1755
127	255	1743
128	256	1732
129	257	1723
130	258	1715
131	259	1705
132	260	1696
133	261	1687
134	262	1679
135	263	1671
136	263	1662
137	264	1652
138	265	1644
139	266	1635
140	267	1627
141	267	1619
142	268	1610
143	269	1602
144	270	1594
145	271	1586
146	272	1578
147	272	1570
148	273	1563
149	274	1555
150	275	1548
151	276	1541
152	277	1534
153	277	1527
154	278	1519
155	279	1512
156	280	1505
157	281	1498
158	282	1492
159	282	1485
160	283	1478
161	284	1471
162	285	1465
163	286	1458
164	286	1452
165	287	1445
166	288	1439
167	289	1433
168	290	1427
169	291	1420
170	291	1415
171	292	1409
172	293	1403
173	294	1397
174	295	1391
175	296	1386
176	296	1380
177	297	1374
178	298	1369
179	299	1363
180	299	1356
181	300	1350
182	301	1345
183	302	1340
184	303	1335
185	303	1330
186	304	1325
187	305	1319
188	306	1314
189	307	1310
190	308	1305
191	309	1300
192	309	1295
193	310	1291
194	311	1286
195	312	1281
196	313	1276
197	313	1271
198	314	1267
199	315	1262
200	316	1258
201	317	1253
202	318	1249
203	319	1244
204	319	1240
205	320	1236
206	321	1233
207	322	1229
208	323	1225
209	324	1222
210	325	1218
211	326	1215
212	327	1210
213	328	1206
214	329	1202
215	330	1198
216	331	1194
217	331	1190
218	332	1186
219	333	1182
220	334	1179
221	335	1175
222	336	1171
223	337	1168
224	338	1164
225	338	1160
226	339	1157
227	340	1153
228	341	1150
229	342	1146
230	343	1143
231	344	1140
232	345	1136
233	346	1133
234	347	1130
235	348	1127
236	349	1123
237	349	1120
238	350	1117
239	351	1113
240	352	1110
241	353	1107
242	354	1104
243	355	1100
244	356	1097
245	356	1094
246	357	1090
247	358	1087
248	359	1084
249	360	1080
250	361	1077
251	362	1074
252	363	1072
253	364	1069
254	365	1067
255	366	1064
256	367	1062
257	368	1061
258	369	1058
259	370	1055
260	371	1052
261	372	1049
262	373	1046
263	374	1043
264	375	1040
265	376	1038
266	377	1035
267	378	1032
268	379	1030
269	380	1028
270	381	1025
271	382	1022
272	383	1019
273	383	1017
274	384	1014
275	385	1012
276	386	1009
277	387	1006
278	388	1004
279	389	1001
280	390	999
281	391	996
282	392	994
283	393	991
284	394	989
285	395	986
286	396	984
287	397	981
288	398	979
289	398	976
290	399	974
291	400	971
292	401	969
293	402	966
294	403	964
295	404	962
296	405	959
297	406	957
298	407	954
299	408	952
300	409	949
301	409	947
302	410	945
303	411	942
304	412	940
305	413	937
306	414	935
307	415	933
308	416	930
309	417	928
310	418	926
311	418	923
312	419	921
313	420	919
314	421	916
315	422	915
316	423	913
317	424	910
318	425	908
319	426	906
320	427	903
321	428	901
322	429	899
323	429	897
324	430	895
325	431	892
326	432	890
327	433	888
328	434	886
329	435	883
330	436	881
331	437	879
332	438	878
333	439	877
334	440	875
335	441	873
336	442	871
337	443	869
338	444	867
339	445	865
340	446	863
341	448	862
342	449	860
343	449	857
344	450	855
345	452	854
346	453	853
347	454	851
348	455	849
349	456	848
350	457	846
351	458	844
352	459	841
353	460	839
354	461	837
355	461	835
356	462	833
357	463	831
358	464	829
359	465	827
360	466	825
361	467	823
362	468	821
363	469	819
364	469	817
365	470	815
366	471	813
367	472	811
368	473	809
369	474	807
370	475	805
371	476	803
372	477	801
373	477	799
374	478	798
375	479	796
376	480	794
377	481	792
378	482	790
379	483	788
380	484	786
381	485	784
382	485	782
383	486	780
384	487	778
385	488	776
386	489	774
387	490	772
388	490	770
389	491	769
390	492	767
391	493	765
392	494	763
393	495	762
394	496	760
395	497	758
396	498	756
397	499	754
398	499	753
399	500	751
400	501	749
401	502	747
402	503	746
403	504	744
404	505	742
405	506	741
406	507	739
407	508	738
408	509	736
409	510	734
410	511	733
411	512	731
412	513	729
413	514	728
414	515	726
415	516	725
416	517	724
417	518	722
418	519	720
419	521	719
420	521	717
421	522	716
422	523	714
423	525	713
424	526	712
425	527	710
426	528	708
427	528	706
428	529	705
429	530	703
430	531	701
431	532	699
432	533	698
433	534	697
434	535	695
435	539	698
436	540	696
437	541	695
438	542	693
439	543	691
440	544	690
441	545	688
442	546	687
443	547	685
444	548	683
445	549	682
446	549	680
447	550	678
448	551	677
449	552	675
450	553	673
451	554	672
452	555	670
453	556	669
454	557	667
455	558	665
456	559	664
457	559	662
458	560	661
459	561	659
460	562	657
461	563	656
462	564	654
463	565	653
464	566	651
465	567	649
466	568	648
467	569	646
468	569	645
469	570	643
470	571	642
471	572	640
472	573	638
473	574	637
474	575	635
475	575	634
476	576	632
477	577	630
478	578	629
479	579	627
480	580	626
481	581	624
482	582	622
483	582	621
484	583	619
485	584	618
486	585	616
487	586	615
488	587	613
489	588	612
490	588	610
491	589	609
492	590	607
493	591	606
494	592	604
495	593	602
496	594	601
497	595	599
498	595	598
499	596	596
500	597	595
501	598	593
502	599	592
503	600	590
504	600	588
505	601	587
506	602	585
507	603	584
508	604	582
509	605	581
510	605	579
511	606	578
512	607	576
513	608	575
514	609	573
515	613	575
516	614	573
517	615	572
518	615	570
519	616	569
520	617	567
521	618	566
522	619	564
523	620	563
524	621	561
525	621	560
526	622	558
527	623	557
528	624	555
529	625	554
530	626	552
531	626	551
532	627	550
533	628	548
534	629	547
535	630	545
536	631	544
537	632	542
538	633	541
539	634	540
540	635	538
541	636	537
542	636	536
543	637	534
544	638	533
545	639	532
546	641	530
547	642	529
548	642	528
549	643	526
550	644	525
551	645	524
552	646	522
553	647	521
554	648	519
555	649	518
556	650	517
557	651	515
558	652	514
559	653	513
560	653	511
561	654	510
562	655	508
563	656	507
564	657	506
565	658	504
566	659	503
567	660	502
568	660	500
569	661	499
570	662	497
571	663	496
572	664	495
573	665	493
574	666	492
575	667	491
576	668	489
577	668	488
578	669	486
579	670	485
580	671	484
581	672	482
582	673	481
583	674	480
584	674	478
585	675	477
586	676	476
587	677	474
588	678	473
589	679	472
590	680	470
591	681	469
592	681	468
593	682	466
594	683	465
595	684	463
596	685	462
597	686	461
598	687	460
599	688	458
600	688	457
601	689	456
602	690	454
603	691	453
604	692	452
605	693	450
606	694	449
607	694	448
608	695	446
609	696	445
610	697	444
611	698	442
612	699	441
613	700	440
614	701	438
615	702	437
616	703	436
617	703	435
618	705	433
619	705	432
620	706	431
621	707	430
622	708	428
623	709	427
624	710	426
625	711	424
626	712	423
627	712	422
628	713	421
629	714	419
630	715	418
631	716	417
632	717	415
633	718	414
634	719	413
635	719	412
636	721	411
637	722	410
638	723	408
639	725	407
640	725	406
641	726	405
642	727	403
643	729	403
644	730	402
645	731	400
646	732	399
647	733	398
648	733	396
649	734	395
650	735	394
651	736	393
652	737	391
653	738	390
654	739	389
655	739	388
656	740	386
657	741	385
658	742	384
659	743	382
660	743	381
661	744	380
662	745	379
663	747	378
664	748	376
665	748	375
666	749	374
667	750	373
668	751	371
669	752	370
670	752	369
671	753	367
672	754	366
673	755	365
674	756	364
675	757	362
676	758	361
677	758	360
678	759	359
679	760	358
680	761	356
681	762	355
682	763	354
683	764	353
684	765	351
685	766	350
686	766	349
687	767	348
688	768	346
689	769	345
690	770	344
691	771	343
692	772	342
693	773	340
694	774	339
695	775	338
696	775	337
697	776	336
698	777	334
699	778	333
700	779	332
701	780	331
702	780	329
703	781	328
704	782	327
705	783	326
706	784	324
707	784	323
708	785	322
709	786	321
710	787	320
711	788	318
712	789	317
713	790	316
714	790	315
715	791	314
716	792	312
717	793	311
718	794	310
719	794	309
720	795	307
721	796	306
722	797	305
723	798	304
724	799	303
725	799	301
726	800	300
727	801	299
728	802	298
729	803	297
730	804	295
731	805	294
732	806	293
733	806	292
734	807	291
735	808	290
736	809	288
737	810	287
738	811	286
739	812	285
740	813	284
741	814	283
742	814	281
743	815	280
744	816	279
745	817	278
746	818	277
747	819	275
748	820	274
749	820	273
750	821	272
751	822	271
752	823	270
753	824	268
754	824	267
755	825	266
756	826	265
757	827	264
758	828	263
759	829	261
760	830	260
761	830	259
762	832	258
763	832	257
764	833	256
765	834	254
766	835	253
767	836	252
768	837	251
769	837	250
770	838	249
771	839	247
772	840	246
773	841	245
774	842	244
775	842	243
776	843	242
777	844	240
778	845	239
779	846	238
780	846	237
781	847	236
782	848	235
783	849	234
784	850	232
785	851	231
786	852	230
787	852	229
788	853	228
789	854	227
790	855	226
791	856	224
792	857	223
793	858	222
794	858	221
795	859	220
796	860	219
797	861	218
798	862	216
799	862	215
800	863	214
801	864	213
802	865	212
803	866	211
804	867	210
805	868	208
806	868	207
807	869	206
808	870	205
809	871	204
810	872	203
811	873	202
812	874	201
813	875	200
814	876	198
815	877	197
816	878	196
817	878	195
818	879	194
819	880	193
820	881	192
821	882	191
822	883	189
823	883	188
824	884	187
825	885	186
826	886	185
827	887	184
828	888	183
829	888	182
830	889	180
831	890	179
832	891	178
833	892	177
834	893	176
835	893	175
836	894	174
837	895	173
838	896	172
839	897	170
840	898	169
841	899	168
842	899	167
843	900	166
844	901	165
845	902	164
846	903	163
847	903	162
848	904	160
849	905	159
850	906	158
851	907	157
852	907	156
853	908	155
854	909	154
855	910	153
856	911	152
857	912	150
858	912	149
859	913	148
860	914	147
861	915	146
862	916	145
863	916	144
864	917	143
865	918	142
866	919	141
867	920	139
868	920	138
869	921	137
870	922	136
871	923	135
872	924	134
873	925	133
874	925	132
875	926	131
876	927	130
877	928	128
878	928	127
879	929	126
880	930	125
881	931	124
882	931	123
883	932	122
884	933	121
885	934	120
886	935	119
887	936	118
888	937	117
889	938	115
890	938	114
891	939	113
892	940	112
893	941	111
894	942	110
895	943	109
896	943	108
897	944	107
898	945	106
899	946	105
900	947	104
901	948	103
902	948	101
903	949	100
904	950	99
905	951	98
906	952	97
907	953	96
908	954	95
909	955	94
910	955	93
911	956	92
912	957	91
913	958	90
914	959	89
915	960	88
916	960	86
917	961	85
918	962	84
919	963	83
920	964	82
921	964	81
922	965	80
923	966	79
924	967	78
925	968	77
926	969	76
927	970	75
928	970	74
929	971	73
930	972	72
931	973	71
932	974	69
933	974	68
934	975	67
935	976	66
936	977	65
937	977	64
938	978	63
939	979	62
940	980	61
941	981	60
942	982	59
943	983	58
944	983	57
945	984	56
946	985	55
947	986	54
948	987	53
949	988	52
950	989	50
951	990	49
952	991	48
953	992	47
954	993	46
955	995	45
956	998	44
957	999	43
958	1000	42
959	1001	41
960	1002	40
961	1003	39
962	1005	38
963	1006	37
964	1007	36
965	1008	35
966	1009	34
967	1010	33
968	1011	32
969	1013	31
970	1013	30
971	1014	29
972	1015	28
973	1016	27
974	1017	26
975	1018	25
976	1019	23
977	1020	22
978	1021	21
979	1022	20
980	1023	19
981	1024	18
982	1025	17
983	1026	16
984	1027	15
985	1028	14
986	1029	13
987	1030	12
988	1031	11
989	1032	10
990	1033	9
991	1034	8
992	1035	7
993	1036	6
994	1038	5
995	1039	4
996	1040	3
997	1041	2
998	1043	1
999	1043	0
